2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=175.0°, Prev=174.1°, Direction=increasing, Frames Since Rep=36
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=175.2°, Prev=175.0°, Direction=increasing, Frames Since Rep=37
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=175.1°, Prev=175.2°, Direction=decreasing, Frames Since Rep=38
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=175.3°, Prev=175.1°, Direction=increasing, Frames Since Rep=39
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.3°, Direction=increasing, Frames Since Rep=40
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=176.4°, Prev=175.8°, Direction=increasing, Frames Since Rep=41
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=176.9°, Prev=176.4°, Direction=increasing, Frames Since Rep=42
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=177.3°, Prev=176.9°, Direction=increasing, Frames Since Rep=43
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=177.5°, Prev=177.3°, Direction=increasing, Frames Since Rep=44
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.5°, Direction=increasing, Frames Since Rep=45
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.7°, Direction=increasing, Frames Since Rep=46
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=177.9°, Prev=177.8°, Direction=increasing, Frames Since Rep=47
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=178.0°, Prev=177.9°, Direction=increasing, Frames Since Rep=48
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=178.0°, Prev=178.0°, Direction=increasing, Frames Since Rep=49
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=178.0°, Prev=178.0°, Direction=increasing, Frames Since Rep=50
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=178.0°, Prev=178.0°, Direction=decreasing, Frames Since Rep=51
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.9°, Prev=178.0°, Direction=decreasing, Frames Since Rep=52
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.9°, Direction=decreasing, Frames Since Rep=53
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.8°, Direction=decreasing, Frames Since Rep=54
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.7°, Direction=increasing, Frames Since Rep=55
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.8°, Direction=increasing, Frames Since Rep=56
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.6°, Prev=177.8°, Direction=decreasing, Frames Since Rep=57
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.3°, Prev=177.6°, Direction=decreasing, Frames Since Rep=58
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.2°, Prev=177.3°, Direction=decreasing, Frames Since Rep=59
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.4°, Prev=177.2°, Direction=increasing, Frames Since Rep=60
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=177.1°, Prev=177.4°, Direction=decreasing, Frames Since Rep=61
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=176.4°, Prev=177.1°, Direction=decreasing, Frames Since Rep=62
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=173.7°, Prev=176.4°, Direction=decreasing, Frames Since Rep=63
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=169.3°, Prev=173.7°, Direction=decreasing, Frames Since Rep=64
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=161.3°, Prev=169.3°, Direction=decreasing, Frames Since Rep=65
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=151.5°, Prev=161.3°, Direction=decreasing, Frames Since Rep=66
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=135.8°, Prev=151.5°, Direction=decreasing, Frames Since Rep=67
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=121.7°, Prev=135.8°, Direction=decreasing, Frames Since Rep=68
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=107.0°, Prev=121.7°, Direction=decreasing, Frames Since Rep=69
2025-09-15 15:36:19 - DEBUG - Bicep Curl: Smoothed Elbow=97.9°, Prev=107.0°, Direction=decreasing, Frames Since Rep=70
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=100.0°, Prev=97.9°, Direction=increasing, Frames Since Rep=71
2025-09-15 15:36:20 - INFO - Bicep Curl Rep 3: Correct, Avg Elbow Angle: 169.3°, Min: 97.9°, Max: 178.1°, Avg Shoulder Angle: 13.6°, Correct Reps: 2, Incorrect Reps: 1, Errors: Shallow curl: min elbow 97.9° > 50°
2025-09-15 15:36:20 - DEBUG - Bicep Curl Feedback: Bend elbow more
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=111.4°, Prev=100.0°, Direction=increasing, Frames Since Rep=1
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=125.3°, Prev=111.4°, Direction=increasing, Frames Since Rep=2
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=143.3°, Prev=125.3°, Direction=increasing, Frames Since Rep=3
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=159.3°, Prev=143.3°, Direction=increasing, Frames Since Rep=4
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=167.0°, Prev=159.3°, Direction=increasing, Frames Since Rep=5
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=171.9°, Prev=167.0°, Direction=increasing, Frames Since Rep=6
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=174.4°, Prev=171.9°, Direction=increasing, Frames Since Rep=7
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.1°, Prev=174.4°, Direction=increasing, Frames Since Rep=8
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.2°, Prev=175.1°, Direction=increasing, Frames Since Rep=9
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.1°, Prev=175.2°, Direction=decreasing, Frames Since Rep=10
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.2°, Prev=175.1°, Direction=increasing, Frames Since Rep=11
2025-09-15 15:36:20 - INFO - Bicep Curl Rep 4: Correct, Avg Elbow Angle: 159.4°, Min: 111.4°, Max: 175.2°, Avg Shoulder Angle: 14.7°, Correct Reps: 2, Incorrect Reps: 2, Errors: Shallow curl: min elbow 111.4° > 50°
2025-09-15 15:36:20 - DEBUG - Bicep Curl Feedback: Bend elbow more
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.3°, Prev=175.2°, Direction=increasing, Frames Since Rep=1
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.5°, Prev=175.3°, Direction=increasing, Frames Since Rep=2
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.7°, Prev=175.5°, Direction=increasing, Frames Since Rep=3
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.7°, Direction=increasing, Frames Since Rep=4
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.8°, Direction=increasing, Frames Since Rep=5
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.9°, Prev=175.8°, Direction=increasing, Frames Since Rep=6
2025-09-15 15:36:20 - DEBUG - Bicep Curl: Smoothed Elbow=175.9°, Prev=175.9°, Direction=increasing, Frames Since Rep=7
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=175.9°, Prev=175.9°, Direction=increasing, Frames Since Rep=8
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=175.9°, Direction=increasing, Frames Since Rep=9
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=176.0°, Direction=increasing, Frames Since Rep=10
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=176.0°, Direction=decreasing, Frames Since Rep=11
